staff_member,week_commencing,week_number,programme_category,activity_value
Legacy Data,01/01/2024,1,Action Cards and Other Resource Development,0
Legacy Data,08/01/2024,2,Action Cards and Other Resource Development,0
Legacy Data,15/01/2024,3,Action Cards and Other Resource Development,0
Legacy Data,22/01/2024,4,Action Cards and Other Resource Development,0
Legacy Data,29/01/2024,5,Action Cards and Other Resource Development,0
Legacy Data,05/02/2024,6,Action Cards and Other Resource Development,0
Legacy Data,12/02/2024,7,Action Cards and Other Resource Development,0
Legacy Data,19/02/2024,8,Action Cards and Other Resource Development,0
Legacy Data,26/02/2024,9,Action Cards and Other Resource Development,0
Legacy Data,04/03/2024,10,Action Cards and Other Resource Development,0
Legacy Data,11/03/2024,11,Action Cards and Other Resource Development,0
Legacy Data,18/03/2024,12,Action Cards and Other Resource Development,0
Legacy Data,25/03/2024,13,Action Cards and Other Resource Development,0
Legacy Data,01/04/2024,14,Action Cards and Other Resource Development,0
Legacy Data,08/04/2024,15,Action Cards and Other Resource Development,0
Legacy Data,15/04/2024,16,Action Cards and Other Resource Development,0
Legacy Data,22/04/2024,17,Action Cards and Other Resource Development,0
Legacy Data,29/04/2024,18,Action Cards and Other Resource Development,0
Legacy Data,06/05/2024,19,Action Cards and Other Resource Development,0
Legacy Data,13/05/2024,20,Action Cards and Other Resource Development,0
Legacy Data,20/05/2024,21,Action Cards and Other Resource Development,0
Legacy Data,27/05/2024,22,Action Cards and Other Resource Development,0
Legacy Data,03/06/2024,23,Action Cards and Other Resource Development,0
Legacy Data,10/06/2024,24,Action Cards and Other Resource Development,0
Legacy Data,17/06/2024,25,Action Cards and Other Resource Development,0
Legacy Data,24/06/2024,26,Action Cards and Other Resource Development,0
Legacy Data,01/07/2024,27,Action Cards and Other Resource Development,0
Legacy Data,08/07/2024,28,Action Cards and Other Resource Development,0
Legacy Data,15/07/2024,29,Action Cards and Other Resource Development,0
Legacy Data,22/07/2024,30,Action Cards and Other Resource Development,0
Legacy Data,29/07/2024,31,Action Cards and Other Resource Development,0
Legacy Data,05/08/2024,32,Action Cards and Other Resource Development,0
Legacy Data,12/08/2024,33,Action Cards and Other Resource Development,0
Legacy Data,19/08/2024,34,Action Cards and Other Resource Development,0
Legacy Data,26/08/2024,35,Action Cards and Other Resource Development,0
Legacy Data,02/09/2024,36,Action Cards and Other Resource Development,0
Legacy Data,09/09/2024,37,Action Cards and Other Resource Development,0
Legacy Data,16/09/2024,38,Action Cards and Other Resource Development,0
Legacy Data,23/09/2024,39,Action Cards and Other Resource Development,0
Legacy Data,30/09/2024,40,Action Cards and Other Resource Development,0
Legacy Data,07/10/2024,41,Action Cards and Other Resource Development,0
Legacy Data,14/10/2024,42,Action Cards and Other Resource Development,0
Legacy Data,21/10/2024,43,Action Cards and Other Resource Development,0
Legacy Data,28/10/2024,44,Action Cards and Other Resource Development,0
Legacy Data,04/11/2024,45,Action Cards and Other Resource Development,0
Legacy Data,11/11/2024,46,Action Cards and Other Resource Development,0
Legacy Data,18/11/2024,47,Action Cards and Other Resource Development,0
Legacy Data,25/11/2024,48,Action Cards and Other Resource Development,0
Legacy Data,02/12/2024,49,Action Cards and Other Resource Development,0
Legacy Data,09/12/2024,50,Action Cards and Other Resource Development,0
Legacy Data,16/12/2024,51,Action Cards and Other Resource Development,0
Legacy Data,23/12/2024,52,Action Cards and Other Resource Development,0
Legacy Data,30/12/2024,1,Action Cards and Other Resource Development,0
Legacy Data,06/01/2025,2,Action Cards and Other Resource Development,0
Legacy Data,13/01/2025,3,Action Cards and Other Resource Development,0
Legacy Data,20/01/2025,4,Action Cards and Other Resource Development,0
Legacy Data,27/01/2025,5,Action Cards and Other Resource Development,0
Legacy Data,03/02/2025,6,Action Cards and Other Resource Development,0
Legacy Data,10/02/2025,7,Action Cards and Other Resource Development,0
Legacy Data,17/02/2025,8,Action Cards and Other Resource Development,0
Legacy Data,24/02/2025,9,Action Cards and Other Resource Development,0
Legacy Data,03/03/2025,10,Action Cards and Other Resource Development,0
Legacy Data,10/03/2025,11,Action Cards and Other Resource Development,0
Legacy Data,17/03/2025,12,Action Cards and Other Resource Development,0
Legacy Data,24/03/2025,13,Action Cards and Other Resource Development,0
Legacy Data,31/03/2025,14,Action Cards and Other Resource Development,0
Legacy Data,07/04/2025,15,Action Cards and Other Resource Development,0
Legacy Data,14/04/2025,16,Action Cards and Other Resource Development,0
Legacy Data,21/04/2025,17,Action Cards and Other Resource Development,0
Legacy Data,28/04/2025,18,Action Cards and Other Resource Development,0
Legacy Data,05/05/2025,19,Action Cards and Other Resource Development,0
Legacy Data,12/05/2025,20,Action Cards and Other Resource Development,0
Legacy Data,19/05/2025,21,Action Cards and Other Resource Development,0
Legacy Data,26/05/2025,22,Action Cards and Other Resource Development,0
Legacy Data,30/06/2025,27,Action Cards and Other Resource Development,0
Legacy Data,07/07/2025,28,Action Cards and Other Resource Development,0
Legacy Data,14/07/2025,29,Action Cards and Other Resource Development,0
Legacy Data,21/07/2025,30,Action Cards and Other Resource Development,0
Legacy Data,28/07/2025,31,Action Cards and Other Resource Development,17.41935484
Legacy Data,04/08/2025,32,Action Cards and Other Resource Development,40.64516129
Legacy Data,11/08/2025,33,Action Cards and Other Resource Development,40.64516129
Legacy Data,18/08/2025,34,Action Cards and Other Resource Development,40.64516129
Legacy Data,25/08/2025,35,Action Cards and Other Resource Development,40.64516129
Legacy Data,01/09/2025,36,Action Cards and Other Resource Development,42
Legacy Data,08/09/2025,37,Action Cards and Other Resource Development,42
Legacy Data,15/09/2025,38,Action Cards and Other Resource Development,42
Legacy Data,22/09/2025,39,Action Cards and Other Resource Development,42
Legacy Data,29/09/2025,40,Action Cards and Other Resource Development,24.09677419
Legacy Data,06/10/2025,41,Action Cards and Other Resource Development,16.93548387
Legacy Data,13/10/2025,42,Action Cards and Other Resource Development,16.93548387
Legacy Data,20/10/2025,43,Action Cards and Other Resource Development,16.93548387
Legacy Data,27/10/2025,44,Action Cards and Other Resource Development,12.09677419
Legacy Data,03/11/2025,45,Action Cards and Other Resource Development,0
Legacy Data,10/11/2025,46,Action Cards and Other Resource Development,0
Legacy Data,17/11/2025,47,Action Cards and Other Resource Development,0
Legacy Data,24/11/2025,48,Action Cards and Other Resource Development,0
Legacy Data,01/12/2025,49,Action Cards and Other Resource Development,0
Legacy Data,08/12/2025,50,Action Cards and Other Resource Development,0
Legacy Data,15/12/2025,51,Action Cards and Other Resource Development,0
Legacy Data,22/12/2025,52,Action Cards and Other Resource Development,0
Legacy Data,29/12/2025,1,Action Cards and Other Resource Development,0
Legacy Data,01/01/2024,1,Archived programme,114.1677419
Legacy Data,08/01/2024,2,Archived programme,114.1677419
Legacy Data,15/01/2024,3,Archived programme,114.1677419
Legacy Data,22/01/2024,4,Archived programme,114.1677419
Legacy Data,29/01/2024,5,Archived programme,138.0738598
Legacy Data,05/02/2024,6,Archived programme,156.0034483
Legacy Data,12/02/2024,7,Archived programme,156.0034483
Legacy Data,19/02/2024,8,Archived programme,156.0034483
Legacy Data,26/02/2024,9,Archived programme,135.354505
Legacy Data,04/03/2024,10,Archived programme,107.8225806
Legacy Data,11/03/2024,11,Archived programme,107.8225806
Legacy Data,18/03/2024,12,Archived programme,107.8225806
Legacy Data,25/03/2024,13,Archived programme,107.8225806
Legacy Data,01/04/2024,14,Archived programme,81.66666667
Legacy Data,08/04/2024,15,Archived programme,81.66666667
Legacy Data,15/04/2024,16,Archived programme,81.66666667
Legacy Data,22/04/2024,17,Archived programme,81.66666667
Legacy Data,29/04/2024,18,Archived programme,71.39784946
