month,total_leave_hours,total_contr_hours,total_prog_hours,total_non_deploy_hours,total_avail_hours,total_util_hours
01/01/2024,270,2161.3,1917.5,243.8,1647.5,1777.5
01/02/2024,150,2161.3,1917.5,243.8,1767.5,1828.5
01/03/2024,191.3,2031.3,1787.5,243.8,1596.3,1640.5
01/04/2024,352.5,1706.3,1625,81.3,1272.5,1310.2
01/05/2024,105,1543.8,1462.5,81.3,1357.5,1018.2
01/06/2024,75,1543.8,1462.5,81.3,1387.5,1047.7
01/07/2024,322.5,1543.8,1462.5,81.3,1140,1518.5
01/08/2024,401.3,1543.8,1462.5,81.3,1061.3,1443.9
01/09/2024,135,1706.3,1625,81.3,1490,1565.6
01/10/2024,330,2031.3,1950,81.3,1620,1939.4
01/11/2024,86.5,2031.3,1950,81.3,1863.5,1651.1
01/12/2024,435.3,2031.3,1950,81.3,1514.8,1990.6
01/01/2025,195,2031.3,1950,81.3,1755,2097.6
01/02/2025,198.8,2031.3,1950,81.3,1751.3,1945.8
01/03/2025,142.5,2031.3,1950,81.3,1807.5,1845.9
01/04/2025,333.8,2031.3,1950,81.3,1616.3,1905.8
01/05/2025,307.5,2031.3,1950,81.3,1642.5,1922.6
01/06/2025,56.3,2031.3,1950,81.3,1893.8,1311.2
01/07/2025,273.8,2031.3,1950,81.3,1676.3,2003.8
01/08/2025,502.5,2031.3,1950,81.3,1447.5,2089.1
01/09/2025,183.8,2031.3,1950,81.3,1766.3,1895
01/10/2025,135,2031.3,1950,81.3,1815,1927
01/11/2025,52.5,2031.3,1950,81.3,1897.5,1910.1
01/12/2025,262.5,2031.3,1950,81.3,1687.5,1753.9
01/01/2026,232.5,2031.3,1950,81.3,1717.5,1722.5
